Line,Station,Lat,Lon
BD,BATHURST,43.665671, -79.411268
BD,BAY, 43.670054, -79.391127
SHP,BAYVIEW,43.767022, -79.386758
SHP,BESSARION,43.769341, -79.375934
YU,BLOOR,43.670953, -79.385698
BD,BROADVIEW,43.676941, -79.358176
BD,CASTLE FRANK,43.673564, -79.368950
BD,CHESTER,43.678216, -79.352485
BD,CHRISTIE,43.664106, -79.418390
YU,COLLEGE,43.660964, -79.382920
BD,COXWELL,43.684376, -79.323119
YU,DAVISVILLE,43.697645, -79.397120
SHP,DON MILLS,43.775757, -79.345178
BD,DONLANDS,43.681246, -79.337851
YU,DOWNSVIEW PARK,43.753700, -79.478380
BD,DUFFERIN,43.660528, -79.435536
YU,DUNDAS,43.656246, -79.380860
BD,DUNDAS WEST,43.656894, -79.453295
YU,DUPONT,43.674766, -79.407044
YU,EGLINTON,43.706102, -79.398480
YU,EGLINTON WEST,43.699392, -79.436165
SRT,ELLESMERE,43.766951, -79.276330
YU,FINCH,43.782083, -79.416066
YU,FINCH WEST,43.765066, -79.491044
YU,GLENCAIRN,43.708658, -79.440642
BD,GREENWOOD,43.682825, -79.330351
BD,HIGH PARK,43.653941, -79.466476
YU,HIGHWAY 407,43.783222, -79.523752
BD,ISLINGTON,43.645422, -79.524353
BD,JANE,43.649934, -79.483884
BD,KEELE,43.655550, -79.459610
BD,KENNEDY,43.732471, -79.263727
SRT,KENNEDY,43.732471, -79.263727
YU,KING,43.648848, -79.377752
BD,KIPLING,43.638026, -79.535032
BD,LANSDOWNE,43.659179, -79.442202
YU,LAWRENCE,43.726597, -79.402592
SRT,LAWRENCE EAST,43.750498, -79.270202
YU,LAWRENCE WEST,43.715771, -79.444118
SHP,LESLIE,43.771098, -79.365997
BD,MAIN STREET,43.689144, -79.301806
SRT,MCCOWAN,43.774890, -79.251528
SRT,MIDLAND,43.770440, -79.271970
YU,MUSEUM,43.667043, -79.393438
YU,NORTH YORK CTR,43.768595, -79.412732
BD,OLD MILL,43.649750, -79.494104
YU,OSGOODE,43.651153, -79.386767
BD,OSSINGTON,43.662284, -79.427058
BD,PAPE,43.679810, -79.344697
YU,QUEEN,43.652721, -79.379380
YU,QUEEN'S PARK,43.659282, -79.390231
YU,ROSEDALE,43.676479, -79.388441
BD,ROYAL YORK,43.648513, -79.509831
BD,RUNNYMEDE,43.651712, -79.475885
YU,SHEPPARD WEST,43.749228, -79.462266
SHP,SHEPPARD-YONGE,43.761505, -79.410989
YU,SHEPPARD-YONGE,43.761505, -79.410989
BD,SHERBOURNE,43.672226, -79.375802
BD,SPADINA,43.667436, -79.403994
YU,SPADINA,43.667436, -79.403994
YU,ST ANDREW,43.647755, -79.384899
YU,ST CLAIR,43.687923, -79.393223
YU,ST CLAIR WEST,43.684339, -79.415379
BD,ST GEORGE,43.668464, -79.398910
YU,ST GEORGE,43.668464, -79.398910
YU,ST PATRICK,43.654727, -79.388253
YU,SUMMERHILL,43.682733, -79.390922
YU,UNION,43.644535, -79.380557
YU,VAUGHAN MC,43.794385, -79.527512
BD,VICTORIA PARK,43.694936, -79.288628
BD,WARDEN,43.711170, -79.279042
YU,WELLESLEY,43.665420, -79.383718
YU,WILSON,43.734504, -79.450085
BD,WOODBINE,43.686641, -79.312735
BD,YONGE,43.670953, -79.385698
YU,YORK MILLS,43.744069, -79.406720
YU,YORKDALE,43.724545, -79.447479
YU, YORK UNIVERSITY, 43.773910, -79.499858
YU, PIONEER VILLAGE, 43.776870, -79.509328
SRT, SCARBOROUGH CTR, 43.774428, -79.257949